Quiet file: XC395622.ogg, dBFS is -66.6
Quiet file: XC349955.ogg, dBFS is -67.4
Quiet file: XC564846.ogg, dBFS is -65.2
Quiet file: XC267510.ogg, dBFS is -65.3
Quiet file: XC572833.ogg, dBFS is -67.1
Quiet file: XC153315.ogg, dBFS is -68.2
Quiet file: XC153278.ogg, dBFS is -66.8
Quiet file: XC504994.ogg, dBFS is -71.3
Quiet file: XC202025.ogg, dBFS is -66.2
Silent file: XC208852.ogg, dBFS is -75.7
Silent file: XC208883.ogg, dBFS is -99.4
Quiet file: XC535268.ogg, dBFS is -71.1
Quiet file: XC535271.ogg, dBFS is -65.3
Quiet file: XC564372.ogg, dBFS is -66.3
Quiet file: XC535041.ogg, dBFS is -66.4
Quiet file: XC535160.ogg, dBFS is -71.8
Silent file: XC579430.ogg, dBFS is -inf
Quiet file: XC535153.ogg, dBFS is -68.1
Silent file: XC534949.ogg, dBFS is -75.3
Quiet file: XC526706.ogg, dBFS is -66.0
Silent file: XC282102.ogg, dBFS is -116.3
Quiet file: XC535180.ogg, dBFS is -68.8
Quiet file: XC372211.ogg, dBFS is -71.6
Silent file: XC603890.ogg, dBFS is -77.6
Quiet file: XC501496.ogg, dBFS is -68.6
Quiet file: XC551690.ogg, dBFS is -73.8
Quiet file: XC488506.ogg, dBFS is -71.3
Quiet file: XC535054.ogg, dBFS is -68.9
Quiet file: XC535057.ogg, dBFS is -69.4
Silent file: XC535073.ogg, dBFS is -77.6
Quiet file: XC535078.ogg, dBFS is -72.5
Quiet file: XC535079.ogg, dBFS is -66.5
Quiet file: XC535080.ogg, dBFS is -68.5
Quiet file: XC535086.ogg, dBFS is -73.4
Quiet file: XC535088.ogg, dBFS is -69.8
Quiet file: XC535089.ogg, dBFS is -69.8
Silent file: XC580627.ogg, dBFS is -98.7
Quiet file: XC535090.ogg, dBFS is -71.5
Silent file: XC535091.ogg, dBFS is -82.7
Quiet file: XC581305.ogg, dBFS is -65.5
Silent file: XC439459.ogg, dBFS is -104.9
Silent file: XC284190.ogg, dBFS is -79.0
Quiet file: XC535195.ogg, dBFS is -68.8
Quiet file: XC535196.ogg, dBFS is -67.0
Quiet file: XC358508.ogg, dBFS is -70.5
Quiet file: XC433333.ogg, dBFS is -71.2
Quiet file: XC457489.ogg, dBFS is -67.3
Quiet file: XC263153.ogg, dBFS is -65.6
Quiet file: XC349803.ogg, dBFS is -65.7
Quiet file: XC535260.ogg, dBFS is -67.3
Quiet file: XC544809.ogg, dBFS is -65.4
Quiet file: XC439536.ogg, dBFS is -65.4
Quiet file: XC535151.ogg, dBFS is -65.6
Quiet file: XC185594.ogg, dBFS is -70.5
Silent file: XC141187.ogg, dBFS is -105.5
Quiet file: XC536604.ogg, dBFS is -67.8
Quiet file: XC535046.ogg, dBFS is -66.9
Quiet file: XC535047.ogg, dBFS is -68.1
Quiet file: XC535048.ogg, dBFS is -67.2
Quiet file: XC488399.ogg, dBFS is -67.0
Quiet file: XC297670.ogg, dBFS is -73.6
Quiet file: XC260596.ogg, dBFS is -72.6
Quiet file: XC255363.ogg, dBFS is -65.2
Silent file: XC469985.ogg, dBFS is -80.2
Quiet file: XC541381.ogg, dBFS is -66.2
Quiet file: XC314245.ogg, dBFS is -69.3
Quiet file: XC540337.ogg, dBFS is -65.7
Quiet file: XC326247.ogg, dBFS is -66.5
Quiet file: XC535204.ogg, dBFS is -65.3
Quiet file: XC431962.ogg, dBFS is -73.3
Quiet file: XC535303.ogg, dBFS is -65.7
Silent file: XC535306.ogg, dBFS is -76.5
Quiet file: XC535309.ogg, dBFS is -71.7
Silent file: XC590621.ogg, dBFS is -inf
Quiet file: XC186856.ogg, dBFS is -67.6
Quiet file: XC313916.ogg, dBFS is -66.0
Quiet file: XC314242.ogg, dBFS is -65.8
Quiet file: XC330636.ogg, dBFS is -65.2
Quiet file: XC323895.ogg, dBFS is -65.6
Quiet file: XC567735.ogg, dBFS is -65.6
Quiet file: XC181332.ogg, dBFS is -70.2
Quiet file: XC294960.ogg, dBFS is -65.1
Quiet file: XC386080.ogg, dBFS is -71.3
Quiet file: XC457490.ogg, dBFS is -66.7
Quiet file: XC518412.ogg, dBFS is -65.3
Quiet file: XC295936.ogg, dBFS is -65.3
Quiet file: XC137599.ogg, dBFS is -72.2
Quiet file: XC182574.ogg, dBFS is -68.5
Quiet file: XC182575.ogg, dBFS is -68.5
Quiet file: XC286524.ogg, dBFS is -72.9
Quiet file: XC345898.ogg, dBFS is -65.1
Quiet file: XC304675.ogg, dBFS is -65.0
Quiet file: XC360236.ogg, dBFS is -70.2
Quiet file: XC291935.ogg, dBFS is -66.0
Quiet file: XC314041.ogg, dBFS is -67.0
Quiet file: XC356012.ogg, dBFS is -72.1
Quiet file: XC549227.ogg, dBFS is -68.2
Quiet file: XC186851.ogg, dBFS is -65.2
Quiet file: XC330469.ogg, dBFS is -65.2
Quiet file: XC389891.ogg, dBFS is -68.1
Quiet file: XC244402.ogg, dBFS is -69.1
Quiet file: XC360237.ogg, dBFS is -70.6
Quiet file: XC431935.ogg, dBFS is -70.7
Silent file: XC141034.ogg, dBFS is -105.5
Quiet file: XC536417.ogg, dBFS is -68.2
Quiet file: XC538087.ogg, dBFS is -66.8
Quiet file: XC551196.ogg, dBFS is -66.5
Quiet file: XC551981.ogg, dBFS is -72.6
Quiet file: XC553534.ogg, dBFS is -69.2
Silent file: XC154485.ogg, dBFS is -86.4
Quiet file: XC256082.ogg, dBFS is -69.4
Quiet file: XC358509.ogg, dBFS is -73.7
Quiet file: XC305164.ogg, dBFS is -67.5
Quiet file: XC372263.ogg, dBFS is -69.1


[{'quiet_files': ['XC153315.ogg', 'XC535041.ogg', 'XC372211.ogg', 'XC535260.ogg', 'XC536417.ogg', 'XC538087.ogg', 'XC551196.ogg', 'XC551981.ogg', 'XC553534.ogg'], 'silent_files': []}, 
 {'quiet_files': ['XC564846.ogg', 'XC572833.ogg', 'XC535180.ogg', 'XC535195.ogg', 'XC535196.ogg', 'XC326247.ogg', 'XC304675.ogg', 'XC360236.ogg'], 'silent_files': ['XC603890.ogg']}, 
