thresh,F1,prec,recall
0.30,0.7337,0.9379,0.7665
0.31,0.7309,0.9410,0.7615
0.32,0.7305,0.9442,0.7592
0.33,0.7272,0.9450,0.7554
0.34,0.7264,0.9475,0.7529
0.35,0.7254,0.9500,0.7508
0.36,0.7222,0.9517,0.7473
0.37,0.7220,0.9548,0.7454
0.38,0.7218,0.9583,0.7435
0.39,0.7222,0.9602,0.7429
0.40,0.7202,0.9625,0.7395
0.41,0.7193,0.9648,0.7365
0.42,0.7177,0.9681,0.7333
0.43,0.7170,0.9702,0.7310
0.44,0.7157,0.9717,0.7289
0.45,0.7132,0.9721,0.7265
0.46,0.7112,0.9733,0.7238
0.47,0.7089,0.9746,0.7203
0.48,0.7075,0.9762,0.7182
0.49,0.7054,0.9767,0.7165
0.50,0.7060,0.9792,0.7150
0.51,0.7034,0.9796,0.7121
0.52,0.7025,0.9806,0.7106
0.53,0.6999,0.9819,0.7076
0.54,0.6990,0.9831,0.7063
0.55,0.6978,0.9835,0.7049
0.56,0.6953,0.9840,0.7024
0.57,0.6924,0.9854,0.6991
0.58,0.6908,0.9858,0.6970
0.59,0.6889,0.9858,0.6952
